id,physical_description,unit_capture,size,len_comp_size,size_comp_flag,width,height,optional
21222,BROADSIDE; 4 X 6;,inches,4.0X6.0,,0,4.0,6.0,
21223,BOOKLET RIBBON TRIM;5X7;,inches,5.0X7.0,,0,5.0,7.0,
21224,FOLDER; ILLUS; COL; 4.6X7.6;,inches,4.6X7.6,,0,4.6,7.6,
21225,FOL; 4.5X5.25;,inches,4.5X5.25,,0,4.5,5.25,
21226,BROADSIDE; ILLUS; 5.25 X 7.5;,inches,5.25X7.5,,0,5.25,7.5,
21227,BOOKLET; ILLUS; COL; 5.5 X 8;,inches,5.5X8.0,,0,5.5,8.0,
21228,CARD; ILLUS; COL; 7X11;,inches,7.0X11.0,,0,7.0,11.0,
21229,CARD;ILL;COL;5.25X8;,inches,5.25X8.0,,0,5.25,8.0,
21230,BROADSIDE; ILLUS; COL; 4X6;,inches,4.0X6.0,,0,4.0,6.0,
21231,CARD; ILLUS; COL; 5X8;,inches,5.0X8.0,,0,5.0,8.0,
21232,FOLDER; ILLUS; 5X8.25;,inches,5.0X8.25,,0,5.0,8.25,
21233,BOOKLET; COL; 6.5 X 9;,inches,6.5X9.0,,0,6.5,9.0,
21234,CARD;ILL;COL;4.5X6.5;,inches,4.5X6.5,,0,4.5,6.5,
21235,CARD; ILLUS; 4.5X6.75;,inches,4.5X6.75,,0,4.5,6.75,
21236,CARD; ILLUS; 5.5 X 8.25;,inches,5.5X8.25,,0,5.5,8.25,
21237,FOLDER;ILL;COL;5.25X7.5;,inches,5.25X7.5,,0,5.25,7.5,
21238,CARD; 5.25X7,inches,5.25X7.0,,0,5.25,7.0,
21239,FOLDER; ILLUS; 6.5 X 11;,inches,6.5X11.0,,0,6.5,11.0,
21240,CARD; ILLUS; COL; 4.5X8;,inches,4.5X8.0,,0,4.5,8.0,
21241,BROADSHEET; 7X5.5;,inches,7.0X5.5,,0,7.0,5.5,
21242,FOLDER; ILLUS;COL;4.5X6.5;,inches,4.5X6.5,,0,4.5,6.5,
21243,BOOKLET; ILLUS; COL; 5X6;,inches,5.0X6.0,,0,5.0,6.0,
21244,FOLDER;ILL;5.5X6.75,inches,5.5X6.75,,0,5.5,6.75,
21245,BROADSIDE;ILL;COL;5X9;,inches,5.0X9.0,,0,5.0,9.0,
21246,BOOKLET; TWO PAGES JOINED BY CORD;ILLUS; COL; 7.5 X 11;,inches,7.5X11.0,,0,7.5,11.0,
21247,CARD;ILL;COL;5.5X8.25;,inches,5.5X8.25,,0,5.5,8.25,
21248,FOLDER; 6.825X10.5;,inches,6.825X10.5,,0,6.825,10.5,
21249,CARD; 5X8;,inches,5.0X8.0,,0,5.0,8.0,
21250,BROADSIDE; 5X6.25;,inches,5.0X6.25,,0,5.0,6.25,
21251,FOLDER; ILLUS; COL; 4.5 X 6.75;,inches,4.5X6.75,,0,4.5,6.75,
21252,CARD; ILLUS; COL; 5.25 X 8.5;,inches,5.25X8.5,,0,5.25,8.5,
21253,CARD; ILLUS; COL; 4.5X7;,inches,4.5X7.0,,0,4.5,7.0,
21254,CARD;ILLUS;COL;5X9;,inches,5.0X9.0,,0,5.0,9.0,
21255,CARD; ILLUS; COL; 5.5 X 6.5;,inches,5.5X6.5,,0,5.5,6.5,
21256,CARD;ILLUS;4.5X6.5;,inches,4.5X6.5,,0,4.5,6.5,
21257,CARD; ILLUS; COL; 5X6.75;,inches,5.0X6.75,,0,5.0,6.75,
21258,BROADSIDE,0,,,0,,,
21259,CARD; ILLUS; COL; 3.5X6.5;,inches,3.5X6.5,,0,3.5,6.5,
21260,CARD;ILL;COL;5.5X8.5;,inches,5.5X8.5,,0,5.5,8.5,
21261,CARD; 4.75X7.25;,inches,4.75X7.25,,0,4.75,7.25,
21262,BOOKLET; COL; ILLUS; 8.5 X 9.25;,inches,8.5X9.25,,0,8.5,9.25,
21263,CARD; 3 X 4.25;,inches,3.0X4.25,,0,3.0,4.25,
21264,FOLDER; 4.5 X 7;,inches,4.5X7.0,,0,4.5,7.0,
21265,FOLDER; 4.5X7.0; ILLUS; COL;,inches,4.5X7.0,,0,4.5,7.0,
21266,FOLDER; ILLUS; COL; 5.25X7.5;,inches,5.25X7.5,,0,5.25,7.5,
21267,BROADSHEET; 7 X 11;,inches,7.0X11.0,,0,7.0,11.0,
