,Occurrance,Frequency
579,"('COL', '3.5X6.5')",3
580,"('ILLUS', '3.75X6')",20
581,"('FOLDER', '3.75')",7
582,"('FOLDER', '5.75')",3
583,"('X', '5.76')",1
584,"('BROADSHEET', '7')",3
585,"('5.25', 'x')",10
586,"('x', '8.25')",29
587,"('ILLUS', '8X10')",1
588,"('BROADSHEET', '8X9.75')",1
589,"('COL', '5.25X6.75')",8
590,"('COL', '6X8')",26
591,"('FOLDER', '4.5X7')",9
592,"('CARD', '3.25X6')",2
593,"('ILLUS', '9')",9
594,"('9', 'X')",13
595,"('X', '11.5')",5
596,"('CARD', '6.5X14')",1
597,"('FOLDER', '5.75X9.25')",1
598,"('COL', '8.5X11.75')",1
599,"('COL', '14.5')",1
600,"('14.5', 'X')",1
601,"('COL', '5X7.25')",12
602,"('COL', '7X7.75')",1
603,"('FOLDER', '4.25')",10
604,"('5.5.X', '8')",6
605,"('ILLUS', '5.5.')",2
606,"('5.5.', 'X')",5
607,"('COL', '5.5.')",2
608,"('BROADSIDE', '5.5.')",1
609,"('COL', '4X5.75')",7
610,"('COL', '6X9.25')",13
611,"('COL', '5.5X9.75')",2
612,"('EMBLEM', '5.5.X')",3
613,"('BROADIDE', 'ILLUS')",2
614,"('X', '11.25')",8
615,"('ILLUS', '8')",8
616,"('BROADSHEET', '5.5X9.25')",1
617,"('BROADSHEET', 'AMERICAN')",1
618,"('AMERICAN', 'FLAG')",1
619,"('FLAG', 'RED')",1
620,"('RED', 'WHITE')",2
621,"('WHITE', '&')",2
622,"('&', 'BLUE')",2
623,"('BLUE', 'COL')",1
624,"('ILLUS', '7')",31
625,"('BROADSIDE', 'NAUTICAL')",1
626,"('NAUTICAL', 'FLAG')",1
627,"('FLAG', '5')",1
628,"('BROADSIDE', 'ILUS')",1
629,"('ILUS', 'COL')",1
630,"('ILLUS', '4.75X7.75')",3
631,"('COL', '4X75X8')",1
632,"('CARD', '4.5X6.25')",4
633,"('FOLDER', '11X8.5')",1
634,"('FOLDER', 'JAPANESE')",2
635,"('JAPANESE', 'GIRL')",1
636,"('GIRL', 'ILLUS')",1
637,"('BROADSIDE', '6.5')",6
638,"('EMBLEM', '3.75')",1
639,"('JAPANESE', 'SCENE')",1
640,"('SCENE', 'COL')",1
641,"('EMBLEM', '5.35')",1
642,"('5.35', 'X')",1
643,"('COVER', 'COL')",4
644,"('FOFLDER', '6')",1
645,"('EMBLEM', '3.5')",1
646,"('5.5', 'X8.25')",1
647,"('OLDER', 'COL')",1
648,"('FOLDER', '5.25')",4
649,"('X', '4.5')",23
650,"('BROADSIDE', 'ILLLUS')",1
651,"('ILLLUS', '4X6.5')",1
652,"('CARD', '6.25X10')",1
653,"('BROADSHEET', '3.5')",2
654,"('BROADSIDE', 'PHOTOGRAPH')",2
655,"('PHOTOGRAPH', '4.5')",1
656,"('BROADSHEET', 'PHOTOGRAPH')",1
657,"('PHOTOGRAPH', 'ON')",2
658,"('ON', 'BACK')",4
659,"('BACK', '5.5')",1
660,"('ILLUS', ""4.75X7'"")",1
661,"('ILLUS', '5.5X6.6')",2
662,"('COL', '5.75X9')",4
663,"('COL', '3.5X5')",5
664,"('FOLDER', '5.25X7.25')",1
665,"('COL', '4.75X7')",8
666,"('CARE', 'ILLUS')",1
667,"('COL', '5.75X8.5')",2
668,"('COL', '10.25X7.5')",1
669,"('BROADSIDE', '4X7.5')",2
670,"('COL', '5X9')",20
671,"('ILLUS', '6X8')",7
672,"('ILLUS', '4.5X6')",2
673,"('BROADSIDE', 'PHOTO')",3
674,"('PHOTO', 'COL')",2
675,"('PHOTO', '4')",1
676,"('COL', '4X9.75')",1
677,"('CARD', '4.5X6.75')",8
678,"('CARD', '5X7.5')",6
679,"('CARD', '4X7.5')",1
680,"('COL', '6.75X12')",2
681,"('BROADSIDE', '5.5X6.75')",2
682,"('COL', '4.25X7.5')",1
683,"('ILLUS', '6.25X9')",2
684,"('FOLDER', '4X6')",6
685,"('COL', '8.75')",1
686,"('8.75', 'X')",3
687,"('X', '12.5')",10
688,"('COL', '6.25X9.25')",1
689,"('FOLDER', '6.25X10.75')",1
690,"('FOLDER', '6X10')",5
691,"('CARD', '6X9')",5
692,"('COL', '3.5X5.25')",1
693,"('BROADSIDE', '6X8.5')",1
694,"('CARD', '5X8')",60
695,"('5.5X8', '5')",2
696,"('X', '7.50')",4
697,"('COL', '6.5X9.75')",2
698,"('FOLDER', '6.0X9.25')",5
699,"('ILLUS', '5.0X8.0')",1
