id,width,height,optional
12864,5.5,7.5,
12865,4.5,7.0,
12866,4.25,6.5,
12867,6.25,9.25,
12868,6.25,9.25,
12869,6.25,9.25,
12870,5.5,7.25,
12871,6.75,11.0,
12872,6.0,9.5,
12874,6.25,9.5,
12875,4.25,7.0,
12879,6.0,9.5,
12880,6.0,9.5,
12881,4.25,6.5,
12882,6.0,11.0,
12884,5.0,7.25,
12885,5.5,9.5,
12886,4.5,7.5,
12887,6.5,9.0,
12892,5.0,8.0,
12895,6.5,9.75,
12896,6.5,9.75,
12898,4.5,7.25,
12900,5.5,7.0,
12901,4.0,6.75,
12902,6.25,9.25,
12903,6.75,9.5,
12904,5.5,7.75,
12905,6.5,10.5,
12906,6.5,9.5,
12907,7.0,10.0,
12908,5.0,8.0,
12909,5.0,8.0,
12910,5.0,8.0,
12911,3.5,5.0,
12912,5.25,7.0,
12913,3.5,4.75,
12916,4.25,7.0,
12917,6.0,9.5,
12918,4.0,6.25,
12919,4.0,6.25,
12920,4.0,6.25,
12921,4.25,6.5,
12922,5.0,8.0,
12923,6.0,8.5,
12924,5.0,8.0,
12925,6.25,9.75,
12926,5.0,8.0,
12927,6.0,9.5,
12931,5.5,8.5,
12933,4.0,5.5,
12937,5.5,7.0,
12938,3.0,9.5,
12940,4.5,7.0,
12941,4.5,5.75,
12942,,,
12943,4.5,6.5,
12944,4.5,6.5,
12945,4.5,6.5,
12946,4.5,6.5,
12947,4.5,6.5,
12948,4.5,6.5,
12949,4.5,6.5,
12950,5.75,6.5,
12951,5.75,6.5,
12952,5.75,6.5,
12953,5.75,6.5,
12954,5.75,6.5,
12955,5.75,6.5,
12956,5.75,6.5,
12957,5.75,6.5,
12958,4.5,6.5,
12959,4.5,7.25,
12960,4.0,5.5,
12961,6.5,8.75,
12962,5.5,8.5,
12963,5.5,8.5,
12964,5.5,7.0,
12965,5.25,7.0,
12966,5.5,8.5,
12967,5.5,8.5,
12968,5.5,8.5,
12969,5.0,7.5,
12970,4.5,7.0,
12971,5.0,7.5,
12972,6.0,9.5,
12973,5.75,9.0,
12974,4.25,7.5,
12975,6.5,9.0,
12976,4.75,6.75,
12978,3.75,6.0,
12979,6.0,9.5,
12980,6.5,10.5,
12982,5.25,7.75,
12983,4.5,7.25,
12984,5.0,7.0,
12985,5.0,7.0,
12986,4.5,9.0,
12987,5.5,11.0,
12988,6.0,10.75,
12991,4.25,7.0,
12992,7.0,11.0,
12993,5.25,7.0,
12994,4.0,6.25,
12995,4.5,6.0,
12996,5.25,8.0,
12997,5.0,7.0,
12998,4.0,6.25,
12999,4.0,6.25,
13000,,,
13001,5.25,7.25,
13002,5.0,8.0,
13003,3.75,7.0,
13004,5.25,7.5,
13005,4.5,7.5,
13006,3.0,3.0,
13007,5.5,8.5,
13008,5.5,7.0,
13009,4.75,6.75,
13012,3.25,6.25,
13013,5.5,7.25,
13014,5.75,8.75,
13015,5.75,8.75,
13017,5.5,8.0,
13020,5.5,6.5,
13021,5.5,6.5,
13022,5.5,6.5,
13023,5.5,6.5,
13024,5.5,6.5,
13025,4.5,6.25,
13026,5.5,8.5,
13027,3.75,6.0,
13028,5.0,7.5,
13029,4.25,6.5,
13030,4.25,6.5,
13031,4.0,8.0,
13032,4.75,6.75,
13033,5.5,8.75,
13034,5.5,8.5,
13035,5.0,7.0,
13038,5.0,7.0,
13039,10.75,13.0,
13041,4.5,6.25,
13042,6.0,10.0,
