id,physical_description,size_cp,size,menu_format,unit
25106,CARD; 4.75X6;, 4.75x6,4.75x6,,
25214,FOLDER; ILLUS; COL; 14X9;, 14x9,14x9,,
14239,FOLDER; 5.25 X 7.5;, 5.25 x 7.5,5.25x7.5,,
25074,CARD; 4.5 X 7;, 4.5 x 7,4.5x7,,
25077,FOLDER;3.75X7;,3.75x7,3.75x7,,
25078,FOLDER; ILL; 4X5.25;, 4x5.25,4x5.25,,
25079,CARD' ILLUS; 4.25 X 6.5;, 4.25 x 6.5,4.25x6.5,,
25080,FOLDER;ILLUS ON FRONT & BACK;4.5 X 7;,4.5 x 7,4.5x7,,
25081,BROADSIDE; ILLUS; COL; 6.5 X 9.75;, 6.5 x 9.75,6.5x9.75,,
25082,FOLDER; ILL; 5.5X7.25, 5.5x7.25,5.5x7.25,,
25083,BROADSHEET;ILLUS;COL;5X9;,5x9,5x9,,
25084,FOLDER; 4.5 x 7 1/8, 4.5 x 7.125,4.5x7.125,,
25085,BROADSHEET; ILLUS; 6.75 X 11;, 6.75 x 11,6.75x11,,
25086,BROADSIDE; ILLUS; COL; 6X7.75;, 6x7.75,6x7.75,,
25087,FOLDER; ILLUS;COL; 5.5 X 8;, 5.5 x 8,5.5x8,,
25088,CARD;ILL;COL;4.25X6.25;,4.25x6.25,4.25x6.25,,
25089,FOLDER; ILLUS; COL;4.25 X 6.5;,4.25 x 6.5,4.25x6.5,,
25090,FOLDER;ILL;COL;6.25X9;,6.25x9,6.25x9,,
25092,CARD; ILLUS; COL; 4.5X8.75;, 4.5x8.75,4.5x8.75,,
25093,BROADSIDE; 5 X 9;, 5 x 9,5x9,,
25095,FOLDER; ILLUS; 7 X 9.5, 7 x 9.5,7x9.5,,
25096,CARD; ILLUS; 5.5 X 9.5;, 5.5 x 9.5,5.5x9.5,,
25097,CARD; ILLUS; COL; 3.75 X 6;, 3.75 x 6,3.75x6,,
25098,FOLDER; ILLUS; COL; 4 X 6.5;, 4 x 6.5,4x6.5,,
25099,FOLDER; ILL; 5.5X7;, 5.5x7,5.5x7,,
25100,CARD;ILL;COL;5.5X8.25;,5.5x8.25,5.5x8.25,,
25101,BOOKLET;ILLUS;COL;5.5X6;,5.5x6,5.5x6,,
25104,CARD; ILLUS; 4.5 X 7;, 4.5 x 7,4.5x7,,
25140,BROADSIDE; ILLUS; COL; 5.5X8.25;, 5.5x8.25,5.5x8.25,,
25141,BOOKLET; ILLUS; COL; 5.25 X 7.25;, 5.25 x 7.25,5.25x7.25,,
25142,CARD;ILL;4.25X6.25;,4.25x6.25,4.25x6.25,,
25143,BROADSIDE; COL; 4 X 7.5;, 4 x 7.5,4x7.5,,
25183,CARD; ILLUS; COL; 4.5X6.75;, 4.5x6.75,4.5x6.75,,
25184,FOLDER; ILLUS; COL; 4.5X7;, 4.5x7,4.5x7,,
25186,CARD; COL; 5.25 X 6.5;, 5.25 x 6.5,5.25x6.5,,
25187,CARD; ILLUS; CIOL; 6.5 X 11;, 6.5 x 11,6.5x11,,
25189,FOLDER; COL; ILLUS; 8.25 X 6.5;, 8.25 x 6.5,8.25x6.5,,
